grouping_variable,group_label,n,mean_predicted_tau_pp,realized_aipw_rd_pp,realized_aipw_rd_ci_low_pp,realized_aipw_rd_ci_high_pp,realized_aipw_rr
cate_predicted_quintile,Q1,40233,14.806001724600662,14.814930418590889,13.368621099671344,16.40503484979984,1.8445419383419583
cate_predicted_quintile,Q2,42480,29.368990567685138,26.419448048920458,24.851877014328267,27.999903569141527,2.2193268984318206
cate_predicted_quintile,Q3,47694,30.208306502475047,32.04741742592559,30.475830142512468,33.57082067850655,3.4271040068520073
cate_predicted_quintile,Q4,35370,30.405366786716815,31.52758436008668,29.546919156941616,33.574274496185666,3.98105722954134
cate_predicted_quintile,Q5,35017,41.46536256301381,42.03943712777758,40.469508774643884,43.56849010845863,3.4704456776617376
residence,1,44077,25.228425814510413,22.558258308356343,21.076590520460964,24.117204900617846,1.90380724289753
residence,2,156717,29.75120449380822,30.793267612931547,30.00271036513313,31.714106022061834,3.3385456094552532
social_group,1,41760,30.17081936374369,30.189831371173035,28.559578696778164,31.885527375732973,2.999601653614749
social_group,2,35221,26.574196878972344,27.060468267152004,24.83309603605079,29.33447300500766,3.7025511443336123
social_group,3,79890,27.15025022557726,26.752254960531353,25.65251418019388,27.69998563816819,2.623942198399719
social_group,4,33401,27.967754254774462,27.99092786466122,26.4758238282411,29.647221639128663,2.3479203962896413
