feature,importance_mean,importance_std,rank
state_19,0.3322607931774401,0.02181778961209021,1
state_8,0.09151154958473182,0.006669392024996636,2
state_21,0.08739579338843723,0.017420366332564427,3
state_32,0.08683206673130653,0.012450372808646923,4
state_24,0.08531275473846407,0.007988651676400761,5
state_27,0.08360200711215407,0.009324175209384616,6
education_years,0.07044062547479821,0.00910243481237302,7
wealth_index,0.054527477299637785,0.0044647134804038265,8
residence_1,0.027021291020271253,0.005738514108272953,9
residence_2,0.022010617156350255,0.01113961990362065,10
social_group_2,0.014240250768583793,0.0029651691819322203,11
social_group_1,0.011801550523436401,0.0013823296238096284,12
social_group_Missing,0.011187725121370265,0.002514527503476416,13
social_group_4,0.010905196471498457,0.0023680186887742897,14
social_group_3,0.007416043339838663,0.001066691741630908,15
state_10,0.0020187514859089,0.0020583827700266888,16
state_28,0.0005004849722592391,0.0006894712837729188,17
state_23,0.0003510656643206518,0.0003284414385599571,18
state_1,0.00022211341239710384,0.00031984574343443866,19
twin_order_0,0.0001895943778187445,0.0002883405473806155,20
state_22,0.00013582068285528508,0.00012882374640523208,21
state_36,4.552029955309953e-05,7.61020881181954e-05,22
state_18,2.5329586617386944e-05,3.371787243173092e-05,23
state_9,1.9143189447452523e-05,2.8412643838347045e-05,24
state_6,1.2710163814499504e-05,2.5420327628999004e-05,25
state_3,6.940636439610874e-06,1.388127287922175e-05,26
state_20,6.361169771589945e-06,1.272233954317989e-05,27
twin_order_2,4.224504775422098e-07,8.449009550844196e-07,28
state_15,0.0,0.0,29
state_12,0.0,0.0,30
state_11,0.0,0.0,31
state_14,0.0,0.0,32
state_13,0.0,0.0,33
state_16,0.0,0.0,34
state_30,0.0,0.0,35
state_31,0.0,0.0,36
state_25,0.0,0.0,37
state_2,0.0,0.0,38
state_17,0.0,0.0,39
state_29,0.0,0.0,40
state_34,0.0,0.0,41
state_5,0.0,0.0,42
state_4,0.0,0.0,43
state_37,0.0,0.0,44
state_35,0.0,0.0,45
state_33,0.0,0.0,46
state_7,0.0,0.0,47
twin_order_1,0.0,0.0,48
twin_order_3,0.0,0.0,49
