label,n_unweighted,weighted_prevalence_pct,se_pct,ci95_low_pct,ci95_high_pct,singleton_psu_strata,strata_used,low_n_flag
state_36,7111,62.27,1.074,60.16,64.37,16,2693,False
state_1,5326,45.11,1.08,42.99,47.22,16,2693,False
state_33,6472,45.11,0.857,43.43,46.79,16,2693,False
state_28,2741,43.86,1.274,41.37,46.36,16,2693,False
state_3,5340,40.81,1.085,38.69,42.94,16,2693,False
state_30,368,39.57,2.718,34.24,44.9,16,2693,True
state_37,503,39.55,3.354,32.97,46.12,16,2693,False
state_32,2729,38.96,1.25,36.51,41.41,16,2693,False
state_34,764,36.45,3.234,30.11,42.79,16,2693,False
state_19,5150,35.32,0.879,33.6,37.05,16,2693,False
state_11,596,34.62,3.755,27.26,41.98,16,2693,False
state_29,8129,32.41,0.799,30.84,33.97,16,2693,False
state_4,168,32.31,4.326,23.83,40.79,16,2693,True
state_14,2196,31.98,1.41,29.22,34.74,16,2693,False
state_31,275,31.42,3.003,25.54,37.31,16,2693,True
state_35,456,30.01,3.244,23.66,36.37,16,2693,True
state_16,1818,28.03,1.556,24.98,31.08,16,2693,False
state_27,8974,26.77,0.814,25.17,28.36,16,2693,False
state_7,2692,25.63,1.06,23.55,27.71,16,2693,False
state_5,3124,24.49,1.302,21.94,27.04,16,2693,False
state_25,766,23.68,2.889,18.02,29.34,16,2693,False
state_2,2309,23.55,1.363,20.87,26.22,16,2693,False
state_21,7801,23.34,0.665,22.03,24.64,16,2693,False
state_24,9167,22.29,0.672,20.97,23.6,16,2693,False
state_18,8991,21.49,0.686,20.15,22.84,16,2693,False
state_6,6529,20.43,0.686,19.09,21.78,16,2693,False
state_12,4418,18.62,0.898,16.86,20.38,16,2693,False
state_22,7165,17.69,0.785,16.15,19.23,16,2693,False
state_20,7605,16.86,0.631,15.62,18.09,16,2693,False
state_9,29849,16.37,0.312,15.76,16.98,16,2693,False
state_17,3687,13.83,1.218,11.45,16.22,16,2693,False
state_23,14686,13.29,0.433,12.44,14.14,16,2693,False
state_10,16287,12.72,0.398,11.94,13.5,16,2693,False
state_15,1969,12.63,1.312,10.06,15.2,16,2693,False
state_13,1228,11.4,1.319,8.82,13.99,16,2693,False
state_8,13922,10.93,0.398,10.15,11.71,16,2693,False
