original_feature,mean_abs_shap,is_facility_type,share_pct,domain
facility_type,0.6812597,True,25.049007,health_service_facility
total_children_ever_born,0.26066166,False,9.584181,maternal_reproductive_clinical_proxy
bmi,0.246951,False,9.080058,maternal_reproductive_clinical_proxy
wealth_index,0.16789627,False,6.1733217,socioeconomic_geographic
anc_doctor,0.14334174,False,5.270484,health_service_facility
age_at_first_birth,0.14140497,False,5.1992717,maternal_reproductive_clinical_proxy
education_years,0.13307688,False,4.893059,socioeconomic_geographic
anc_visits,0.127433,False,4.685541,health_service_facility
social_group,0.09813557,False,3.6083136,socioeconomic_geographic
preceding_birth_interval,0.07748386,False,2.848978,maternal_reproductive_clinical_proxy
swelling_during_pregnancy,0.07527673,False,2.7678246,maternal_reproductive_clinical_proxy
anc_anganwadi_worker,0.07032171,False,2.5856352,health_service_facility
religion,0.059658814,False,2.193575,socioeconomic_geographic
birth_order,0.054427136,False,2.001213,maternal_reproductive_clinical_proxy
anc_nurse_midwife,0.04571514,False,1.6808845,health_service_facility
maternal_age,0.045680966,False,1.6796281,maternal_reproductive_clinical_proxy
residence,0.041338425,False,1.5199587,socioeconomic_geographic
twin_order,0.03980756,False,1.4636708,maternal_reproductive_clinical_proxy
anc_asha_worker,0.035067834,False,1.2893974,health_service_facility
blood_sample_during_pregnancy,0.023981374,False,0.8817631,health_service_facility
health_insurance,0.021571899,False,0.7931699,socioeconomic_geographic
first_anc_timing,0.019414045,False,0.7138285,health_service_facility
urine_sample_during_pregnancy,0.017951071,False,0.66003686,health_service_facility
convulsions_during_pregnancy,0.017410893,False,0.6401753,maternal_reproductive_clinical_proxy
bp_measured_during_pregnancy,0.012421966,False,0.45673907,health_service_facility
anc_traditional_attendant,0.011082132,False,0.40747517,health_service_facility
counselled_vaginal_bleeding,0.010792545,False,0.39682746,health_service_facility
told_about_pregnancy_complications,0.010042898,False,0.36926395,health_service_facility
counselled_prolonged_labour,0.008151439,False,0.29971752,health_service_facility
counselled_high_blood_pressure,0.0049066916,False,0.18041249,health_service_facility
counselled_convulsions,0.0048077987,False,0.17677633,health_service_facility
weight_measured_during_pregnancy,0.0046999287,False,0.1728101,health_service_facility
counselled_severe_abdominal_pain,0.004120981,False,0.15152296,health_service_facility
anc_community_worker,0.0019353831,False,0.07116145,health_service_facility
anc_other_provider,0.0014050591,False,0.051662147,health_service_facility
no_anc_provider,7.228582e-05,False,0.0026578528,health_service_facility
