risk_stratum_primary,wealth_index,residence,other,private,public,adequate_common_support
elevated_risk,1,1,0,1,1,False
elevated_risk,1,2,0,6,56,True
elevated_risk,2,1,0,3,6,False
elevated_risk,2,2,0,20,58,True
elevated_risk,3,1,0,7,22,False
elevated_risk,3,2,0,31,67,True
elevated_risk,4,1,0,35,27,False
elevated_risk,4,2,1,30,35,True
elevated_risk,5,1,0,75,36,True
elevated_risk,5,2,0,34,20,False
lower_risk,1,1,0,17,89,True
lower_risk,1,2,6,315,2500,True
lower_risk,2,1,0,54,205,True
lower_risk,2,2,3,590,2660,True
lower_risk,3,1,3,155,433,True
lower_risk,3,2,3,768,2090,True
lower_risk,4,1,2,411,667,True
lower_risk,4,2,7,781,1381,True
lower_risk,5,1,5,916,686,True
lower_risk,5,2,2,597,620,True
not_applicable_multiparous,1,1,0,30,220,True
not_applicable_multiparous,1,2,14,464,5376,True
not_applicable_multiparous,2,1,1,74,364,True
not_applicable_multiparous,2,2,17,773,4435,True
not_applicable_multiparous,3,1,3,235,771,True
not_applicable_multiparous,3,2,8,840,2920,True
not_applicable_multiparous,4,1,4,548,1022,True
not_applicable_multiparous,4,2,3,818,1730,True
not_applicable_multiparous,5,1,4,963,823,True
not_applicable_multiparous,5,2,7,611,648,True
